Entity,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Realized,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to Finished,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Approved to  Completed,Country
Surat,5.56%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,11.11,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
VIT,2.56%,0.0%,0.0%,0.0%,2.56%,0.0%,0.0%,2.56,0.0%,0.0%,0.0%,2.56%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
M.A.H.E.,8.51%,0.0%,0.0%,0.0%,36.36%,0.0%,0.0%,10.64,0.0%,0.0%,0.0%,36.36%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Mumbai,42.27%,21.31%,200.0%,200.0%,69.7%,100.0%,0.0%,56.7,29.51%,800.0%,400.0%,69.7%,100.0%,0.0%,18.56,18.03%,100.0%,0.0%,18.18%,0.0%,0.0%,India
Ahmedabad,9.09%,10.53%,0.0%,0.0%,0.0%,0.0%,0.0%,45.45,15.79%,0.0%,0.0%,30.77%,0.0%,100.0%,12.12,5.26%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Delhi University,23.08%,0.0%,20.0%,0.0%,16.67%,0.0%,0.0%,53.85,0.0%,60.0%,50.0%,16.67%,0.0%,0.0%,30.77,0.0%,40.0%,0.0%,16.67%,0.0%,0.0%,India
Patiala,5.56%,0.0%,0.0%,10.0%,0.0%,0.0%,0.0%,11.11,0.0%,0.0%,10.0%,14.29%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Jodhpur,11.11%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.22,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Kolkata,25.0%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Chennai,45.83%,0.0%,60.0%,0.0%,25.0%,50.0%,0.0%,87.5,0.0%,106.67%,0.0%,25.0%,50.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Delhi IIT,26.83%,26.67%,0.0%,50.0%,50.0%,0.0%,0.0%,56.1,46.67%,60.0%,50.0%,50.0%,150.0%,0.0%,21.95,26.67%,20.0%,0.0%,30.0%,0.0%,0.0%,India
Navi Mumbai,27.78%,25.0%,0.0%,0.0%,66.67%,0.0%,0.0%,66.67,25.0%,400.0%,50.0%,66.67%,0.0%,0.0%,27.78,8.33%,200.0%,0.0%,33.33%,0.0%,0.0%,India
Noida,16.67%,0.0%,0.0%,0.0%,33.33%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,33.33%,50.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Jalandhar,20.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,80.0,0.0%,0.0%,50.0%,0.0%,300.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Indore,11.11%,0.0%,0.0%,33.33%,0.0%,0.0%,0.0%,66.67,0.0%,0.0%,66.67%,50.0%,100.0%,0.0%,33.33,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,India
Nagpur,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Bengaluru,25.0%,0.0%,0.0%,50.0%,16.67%,0.0%,0.0%,50.0,0.0%,0.0%,50.0%,16.67%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
India National Office,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Bhubaneswar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Pune,16.67%,28.57%,33.33%,0.0%,0.0%,0.0%,0.0%,43.33,35.71%,66.67%,0.0%,50.0%,0.0%,0.0%,20.0,7.14%,0.0%,0.0%,41.67%,0.0%,0.0%,India
Ludhiana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0,0.0%,0.0%,0.0%,14.29%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
Bhopal,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.67,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,India
UNILA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
MC AIESEC Indonesia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
PM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
Trisakti,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UPNVY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,56.52,30.0%,0.0%,0.0%,350.0%,0.0%,0.0%,43.48,25.0%,0.0%,0.0%,250.0%,0.0%,0.0%,Indonesia
Surabaya,6.67%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,33.33,36.36%,0.0%,0.0%,0.0%,0.0%,100.0%,6.67,9.09%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
Unsoed,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UIN Jakarta,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Indonesia
UB,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,227.27,190.91%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,90.91%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UMM,27.78%,27.78%,0.0%,0.0%,0.0%,0.0%,0.0%,27.78,27.78%,0.0%,0.0%,0.0%,0.0%,0.0%,22.22,22.22%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UNS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
IPB,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
USU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UPNVJ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,150.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Indonesia
BINUS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
Unpad,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,Indonesia
UI,14.81%,0.0%,0.0%,0.0%,20.0%,300.0%,0.0%,96.3,71.43%,0.0%,0.0%,140.0%,400.0%,0.0%,66.67,42.86%,0.0%,0.0%,140.0%,200.0%,0.0%,Indonesia
Semarang,14.29%,0.0%,0.0%,0.0%,16.67%,0.0%,0.0%,171.43,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,171.43,0.0%,0.0%,0.0%,200.0%,0.0%,0.0%,Indonesia
Bandung,40.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,160.0,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%,140.0,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,Indonesia
UNAND,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0,133.33%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0,133.33%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UGM,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,400.0,0.0%,0.0%,0.0%,400.0%,0.0%,0.0%,400.0,0.0%,0.0%,0.0%,400.0%,0.0%,0.0%,Indonesia
UNJ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UNEJ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UKSW,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
Unsri,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UNTAN,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
PU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,200.0,0.0%,0.0%,0.0%,0.0%,200.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
UNHAS,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Indonesia
Ahvaz (Expansion Initiative),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Allameh Tabatabaie' University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Amirkabir University,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Hamedan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Hamedan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Hamedan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Isfahan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Kermanshah,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Kermanshah,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Kermanshah,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Kermanshah,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Kish Island (Expansion Initiative),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Shiraz,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
Tabriz,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
University of Tehran,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Iran
DCU,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
Galway (Expansion),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
Ireland (MC),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
Maynooth (Expansion),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
TRINITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
UCC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
UCD (Expansion),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Ireland
MC Italy,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Napoli Federico II,81.25%,73.33%,0.0%,0.0%,100.0%,0.0%,0.0%,125.0,120.0%,0.0%,0.0%,100.0%,0.0%,0.0%,68.75,73.33%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Bari,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
PoliTO,17.65%,0.0%,0.0%,0.0%,18.18%,100.0%,0.0%,23.53,0.0%,0.0%,0.0%,18.18%,100.0%,0.0%,11.76,0.0%,0.0%,0.0%,18.18%,0.0%,0.0%,Italy
Roma Sapienza,28.57%,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,57.14,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,14.29,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Brescia,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Bologna,62.5%,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,112.5,0.0%,0.0%,0.0%,20.0%,100.0%,0.0%,25.0,0.0%,0.0%,0.0%,0.0%,33.33%,0.0%,Italy
ITALIA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Venezia,43.59%,51.85%,0.0%,0.0%,0.0%,100.0%,100.0%,51.28,51.85%,0.0%,0.0%,0.0%,300.0%,0.0%,23.08,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Torino,100.0%,220.0%,0.0%,0.0%,0.0%,0.0%,0.0%,109.09,220.0%,0.0%,0.0%,0.0%,100.0%,0.0%,36.36,80.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Trieste,25.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,25.0,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Padova,33.33%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,33.33,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,Italy
Milano,140.0%,200.0%,0.0%,0.0%,100.0%,0.0%,0.0%,300.0,200.0%,0.0%,0.0%,300.0%,0.0%,200.0%,100.0,150.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Italy
Catania,33.33%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.67,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Trento,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Roma Tre,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,150.0,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
Pavia,20.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,120.0,125.0%,0.0%,0.0%,0.0%,0.0%,0.0%,120.0,125.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Italy
SENDAI,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
OSAKA UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
The University of Tokyo,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
RITSUMEIKAN ASIA PACIFIC UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
CHUO UNIVERSITY(CH),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
University of Tsukuba,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
NANZAN UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
KWANSEI GAKUIN UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
DOSHISHA UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
KYOTO UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
KOBE UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
WASEDA UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
HITOTSUBASHI UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
AOYAMAGAKUIN UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
OSAKA METROPOLITAN UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
SOPHIA UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
NAGOYA CITY UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
NAGOYA UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
HOKKAIDO,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
SAINT PAUL'S UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
KEIO SFC,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
KEIO UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
MEIJI UNIVERSITY,300.0%,0.0%,0.0%,0.0%,300.0%,0.0%,0.0%,300.0,0.0%,0.0%,0.0%,300.0%,0.0%,0.0%,100.0,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,Japan
HIROSHIMA,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
SHIGA UNIVERSITY,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Japan
IRBID,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Jordan
MC Jordan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Jordan
AMMAN,16.67%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,27.78,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Jordan
National Office Kazakhstan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,Kazakhstan
Almaty,22.22%,0.0%,0.0%,0.0%,15.38%,0.0%,66.67%,44.44,0.0%,0.0%,0.0%,23.08%,0.0%,166.67%,22.22,0.0%,0.0%,0.0%,23.08%,0.0%,33.33%,Kazakhstan
